symbol,price,ret_5d,ret_20d,vol_20d,score,alpha_label
MRVL,90.44000244140625,0.195,0.11187615580548749,3.27,0.6401,🚀 BUY
MOS,30.68000030517578,0.1773,-0.006464189511797835,2.84,0.6045,🚀 BUY
BG,122.45999908447266,0.0818,0.009289683802270465,1.41,0.4136,📈 WATCH
VRTX,492.3800048828125,0.06849999999999999,0.06751369202096713,1.97,0.387,📈 WATCH
ADM,70.80000305175781,0.0642,0.02934543004982948,1.12,0.3784,📈 WATCH
CF,128.44000244140625,0.1594,0.332153866179961,3.26,0.3688,📈 WATCH
MU,418.69000244140625,0.0545,0.020348993951444738,3.05,0.359,📈 WATCH
DDOG,128.99000549316406,0.0542,0.013037019070430311,3.77,0.3584,📈 WATCH
CE,55.3474006652832,0.053200000000000004,-0.08554920850691361,2.98,0.3565,📈 WATCH
HAL,35.93000030517578,0.0518,0.030661488647641955,1.14,0.3536,📈 WATCH
SLV,78.11750030517578,0.0518,0.02034355794473508,2.84,0.3536,📈 WATCH
INTC,47.97999954223633,0.044199999999999996,-0.00641957687748429,2.83,0.3384,📈 WATCH
PWR,568.5750122070312,0.0352,0.08514960753380407,1.49,0.3205,📈 WATCH
APD,285.92999267578125,0.0347,-0.024595830021033493,0.94,0.3193,📈 WATCH
GEV,842.6500244140625,0.0339,0.023043259919278247,1.88,0.3178,📈 WATCH
HCA,549.4550170898438,0.027999999999999997,0.033840193008317865,1.39,0.3061,📈 WATCH
DVA,154.0,0.0271,0.06744295722874938,1.32,0.3042,📈 WATCH
AMD,204.8300018310547,0.027000000000000003,-0.040968255103403295,2.77,0.3039,📈 WATCH
GOOGL,308.70001220703125,0.026699999999999998,-0.006568903562618855,0.92,0.3034,📈 WATCH
CTVA,78.62999725341797,0.026600000000000002,0.04629638653732049,1.37,0.3033,📈 WATCH
LYV,163.75,0.0248,0.08364766950297109,1.59,0.2997,➖ NEUTRAL
NWS,27.459999084472656,0.0231,0.02994218796366166,1.3,0.2961,➖ NEUTRAL
MOH,150.8300018310547,0.021099999999999997,0.22975947781973627,2.89,0.2922,➖ NEUTRAL
FFIV,289.4200134277344,0.0204,0.023879434249666653,1.29,0.2908,➖ NEUTRAL
DVN,45.36000061035156,0.0189,0.008896831272780181,1.59,0.2877,➖ NEUTRAL
EQIX,969.010009765625,0.0168,0.12307651714181,1.24,0.2836,➖ NEUTRAL
RTX,207.25999450683594,0.0167,0.058207694296114276,1.64,0.2834,➖ NEUTRAL
NVDA,186.02999877929688,0.0147,-0.02109937794889738,1.88,0.2795,➖ NEUTRAL
FE,51.029998779296875,0.0141,0.06467762266603483,0.51,0.2782,➖ NEUTRAL
CTRA,31.350000381469727,0.0138,-0.0022605771671143637,1.57,0.2775,➖ NEUTRAL
PPL,38.154998779296875,0.0127,0.06780479253821237,1.0,0.2753,➖ NEUTRAL
SNOW,179.42999267578125,0.011200000000000002,0.0033550905249857266,2.93,0.2723,➖ NEUTRAL
ORLY,95.31500244140625,0.0101,0.012804184711928901,0.98,0.2702,➖ NEUTRAL
LHX,362.3699951171875,0.0098,0.0685951909643665,1.96,0.2696,➖ NEUTRAL
ED,111.73999786376953,0.009300000000000001,0.025009960719108992,0.71,0.2686,➖ NEUTRAL
NET,213.0,0.1076,0.12454461687236473,3.13,0.2652,➖ NEUTRAL
AVGO,335.2862854003906,0.0076,-0.02180454006389143,1.73,0.2651,➖ NEUTRAL
LMT,659.8699951171875,0.0074,0.055109880136083866,1.51,0.2649,➖ NEUTRAL
AEP,132.8000030517578,0.0058,0.08629859347041147,0.72,0.2615,➖ NEUTRAL
TSLA,407.82000732421875,0.005600000000000001,-0.04775020948012376,1.59,0.2612,➖ NEUTRAL
XOM,151.5800018310547,0.0054,-0.019090124710707035,1.13,0.2609,➖ NEUTRAL
ORCL,163.1199951171875,0.0538,0.037923080403408305,2.39,0.2576,➖ NEUTRAL
MRNA,54.029998779296875,0.0037,0.33374477950982984,3.74,0.2574,➖ NEUTRAL
NOC,741.9224853515625,0.0026,0.09644336813499432,1.66,0.2552,➖ NEUTRAL
LNT,71.48750305175781,0.0021,0.04774292150893156,0.55,0.2541,➖ NEUTRAL
OKE,85.76000213623047,0.0019,0.010129571200177434,1.53,0.2537,➖ NEUTRAL
XLK,140.42999267578125,0.0018,-0.017766024503286237,1.16,0.2536,➖ NEUTRAL
ES,73.94000244140625,0.0009,0.0641090914880289,0.78,0.2519,➖ NEUTRAL
HPE,21.489999771118164,0.0009,-0.09743804060738126,2.11,0.2519,➖ NEUTRAL
KMI,33.422000885009766,0.001,0.0627027050630189,0.68,0.2519,➖ NEUTRAL
FIS,50.15999984741211,0.0002,0.04722062275061867,1.34,0.2504,➖ NEUTRAL
LDOS,175.67999267578125,0.0001,0.015491287143244215,1.6,0.2502,➖ NEUTRAL
MTCH,31.309999465942383,0.0,-0.0028662469325247963,1.58,0.25,➖ NEUTRAL
CME,309.2250061035156,-0.0006,0.04673783768623352,1.54,0.2488,➖ NEUTRAL
DLR,179.61000061035156,-0.0008,0.02887090035330253,1.07,0.2484,➖ NEUTRAL
MSI,466.54998779296875,-0.0013,0.1078526402382447,0.96,0.2474,➖ NEUTRAL
NWSA,24.145000457763672,-0.0014000000000000002,0.04418176396617923,1.28,0.2472,➖ NEUTRAL
CNP,43.29999923706055,-0.0023,0.060629137609357064,0.65,0.2454,➖ NEUTRAL
HOLX,75.44999694824219,-0.004,0.0047942552657964654,0.11,0.2421,➖ NEUTRAL
WMB,74.43499755859375,-0.0045000000000000005,0.046611286332817636,0.74,0.241,➖ NEUTRAL
CRWD,445.4599914550781,0.0453,0.0713065921227789,2.8,0.2406,➖ NEUTRAL
CRM,200.4199981689453,-0.0048,0.08335134145375855,2.4,0.2404,➖ NEUTRAL
TTWO,211.40499877929688,-0.0053,0.036858106881871855,1.58,0.2394,➖ NEUTRAL
UBER,74.97000122070312,-0.0062,0.05576677883878278,1.55,0.2375,➖ NEUTRAL
FTNT,83.87000274658203,-0.006500000000000001,-0.04497833024332143,1.49,0.237,➖ NEUTRAL
DTE,147.63499450683594,-0.0068000000000000005,0.056724553805222566,0.68,0.2365,➖ NEUTRAL
CZR,29.06999969482422,0.0933,0.46522174754279844,3.79,0.2365,➖ NEUTRAL
EBAY,92.06500244140625,-0.0072,0.11453644075968228,1.62,0.2357,➖ NEUTRAL
KIM,23.079999923706055,-0.0073,0.06130503529682518,0.35,0.2354,➖ NEUTRAL
NI,46.689998626708984,-0.0074,0.04545451827659397,0.84,0.2351,➖ NEUTRAL
ANET,138.22999572753906,-0.0084,-0.017275756229948813,2.99,0.2332,➖ NEUTRAL
VZ,50.68000030517578,-0.0098,0.034919318804299326,0.75,0.2305,➖ NEUTRAL
TRGP,236.58999633789062,-0.0101,0.06615291079050989,0.96,0.2297,➖ NEUTRAL
MSTR,138.3300018310547,-0.0106,0.09724757805907891,3.83,0.2288,➖ NEUTRAL
HPQ,18.825000762939453,-0.0108,-0.0318605329821644,1.25,0.2283,➖ NEUTRAL
